"","Cluster","Gene","corr","pval"
"21","Cluster 2","EZH2",0.76783864424581,2.9105109489243e-07
"22","Cluster 2","KLRK1",0.58803751157861,0.000401148599566018
"23","Cluster 2","NT5E",0.106687123786322,0.561129306660653
"24","Cluster 2","RAET1G",0.172924463313196,0.343921227177114
"25","Cluster 2","TAP1",-0.217523417833655,0.231725098846648
"26","Cluster 3","B2M",0.773618038257751,7.72102169860744e-09
"27","Cluster 3","CCL22",0.0475337106345976,0.773842608085232
"28","Cluster 3","CCL28",0.172611539563412,0.293350601073949
"29","Cluster 3","CD40",0.42813931867656,0.00654711943616983
"30","Cluster 3","CXCL17",0.325458621395102,0.0431994162626154
"31","Cluster 3","CXCR5",0.742229298720609,6.36748742432891e-08
"32","Cluster 3","HSP90B1",-0.0316699452890598,0.848218652623532
"33","Cluster 3","KLRK1",0.532128291169826,0.000489112920551233
"34","Cluster 3","NT5E",0.463607307269569,0.00295393776210488
"35","Cluster 3","RAET1G",0.526465784437002,0.000575834710537505
"36","Cluster 3","TAP1",0.326005859509654,0.042828882720481
"37","Cluster 4","B2M",0.644951759081565,0.00011930219842837
"38","Cluster 4","CCL20",0.27904084156675,0.135366466058547
"39","Cluster 4","CCL22",0.463455955360642,0.00989783075023571
"40","Cluster 4","CCL28",0.327339290404308,0.0774393949381812
"41","Cluster 4","CCR6",0.275935334427337,0.139952149286551
"42","Cluster 4","CD1C",-0.103802936523375,0.585154129452925
"43","Cluster 4","CD40",0.466199612474103,0.00941294532837316
"44","Cluster 4","CXCL17",0.203276237901767,0.281311203365557
"45","Cluster 4","EZH2",0.151390767953644,0.424530461598492
"46","Cluster 4","KLRK1",0.432843715255371,0.0168890790431611
"47","Cluster 4","LAG3",0.669587059810811,5.19563425589126e-05
"48","Cluster 4","NT5E",0.394773677672267,0.0308546462852385
"49","Cluster 4","RAET1G",0.200224304323698,0.288751779114587
"50","Cluster 4","TAP1",0.146615455740442,0.439454224778783
"51","Cluster 1","B2M",0.630530602777962,1.56157379788154e-06
"52","Cluster 1","CCL20",0.998983927487038,1.40121971758134e-63
"53","Cluster 1","CCL22",-0.0414175844427175,0.779856948745408
"54","Cluster 1","CCL28",0.642795805772777,8.38655713452581e-07
"55","Cluster 1","CCR6",0.497567683615274,0.000320482732209985
"56","Cluster 1","CD40",0.487365300604761,0.000442703687996309
"57","Cluster 1","CXCL17",-0.0750141506250188,0.612345177526947
"58","Cluster 1","EZH2",0.871379627175485,7.92533258910216e-16
"59","Cluster 1","HSP90B1",0.673193044825393,1.58486468419209e-07
"60","Cluster 1","KLRK1",0.482372479064177,0.000516654571978251
"61","Cluster 1","NT5E",0.539448828956484,7.60665719665127e-05
"62","Cluster 1","RAET1G",-0.0280205087820073,0.85005241060207
"63","Cluster 1","TAP1",0.638944820846477,1.02241927632427e-06
"64","Cluster 2","B2M",0.387038652186132,0.0286401567726727
"65","Cluster 2","CCL22",0.877219450958175,4.49098882172752e-11
"66","Cluster 2","CCL28",0.633601540353303,9.90940646251744e-05
"67","Cluster 2","CD1C",0.518267497737088,0.00237706475186215
"68","Cluster 2","CD2",0.285598566515905,0.113076161376481
"69","Cluster 2","CD40",0.834264921845571,2.99126069402874e-09
"70","Cluster 2","CXCL17",0.220609750462785,0.225006068360248
"71","Cluster 2","EZH2",0.662374622626717,3.63195823197774e-05
"72","Cluster 2","KLRK1",0.340963003415727,0.0561705347102345
"73","Cluster 2","NT5E",0.0837193348332742,0.64871566737499
"74","Cluster 2","RAET1G",0.146720564436191,0.422954587249945
"75","Cluster 2","TAP1",0.931947614186047,9.35228458450264e-15
"76","Cluster 3","B2M",0.66363600278009,4.12415007975902e-06
"77","Cluster 3","CCL22",0.91265209055404,5.96801508815593e-16
"78","Cluster 3","CCL28",0.717826035749423,2.69542833618422e-07
"79","Cluster 3","CD40",-0.00307050852459479,0.985198924247333
"80","Cluster 3","CXCL17",0.234435182691398,0.150854017493523
"81","Cluster 3","CXCR5",0.625875868947426,2.03432968012068e-05
"82","Cluster 3","HSP90B1",-0.210959711559565,0.197347825596676
"83","Cluster 3","KLRK1",0.779684831837027,4.94007240403691e-09
"84","Cluster 3","NT5E",0.219346757675568,0.179706850258433
"85","Cluster 3","RAET1G",0.0789467616028443,0.63284347723417
"86","Cluster 3","TAP1",0.712649659178575,3.59164645622525e-07
"87","Cluster 4","B2M",0.338828469961072,0.0670127738071127
"88","Cluster 4","CCL20",0.961032939916373,3.5901382742083e-17
"89","Cluster 4","CCL22",0.394354753412202,0.0310488975981627
"90","Cluster 4","CCL28",0.541383959043629,0.0020046630295222
"91","Cluster 4","CCR6",0.633832457880723,0.000169604444303774
"92","Cluster 4","CD1C",-0.302927370013357,0.103696182610891
"93","Cluster 4","CD40",0.950727511901407,8.99739192417765e-16
"94","Cluster 4","CXCL17",0.861224230239514,1.00931912192027e-09
"95","Cluster 4","EZH2",0.652267588303063,9.39264462745904e-05
"96","Cluster 4","KLRK1",0.568564329265888,0.0010449352398019
"97","Cluster 4","LAG3",0.536088359244661,0.002261819624029
"98","Cluster 4","NT5E",0.451413595940652,0.0122820674082694
"99","Cluster 4","RAET1G",0.172331486519847,0.362490511333359
"100","Cluster 4","TAP1",0.971492842819186,4.81586293806659e-19
"101","Cluster 1","B2M",0.645468554798899,7.29723421226876e-07
"102","Cluster 1","CCL20",0.0756182047179489,0.609476497310794
"103","Cluster 1","CCL22",-0.0436172148167191,0.768480218295925
"104","Cluster 1","CCL28",0.179034353993547,0.223392480933818
